TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
PARSX,Mutual Funds
MUTHX,Mutual Funds
GGSAX,Mutual Funds
HNHYX,Mutual Funds
FIHTX,Mutual Funds
LAVRX,Mutual Funds
RBFEX,Mutual Funds
MSSIX,Mutual Funds
LIDAX,Mutual Funds
ACHIX,Mutual Funds
GTVVX,Mutual Funds
TRVVX,Mutual Funds
JSBEX,Mutual Funds
SBMLX,Mutual Funds
VINIX,Mutual Funds
VBIAX,Mutual Funds
PJMYX,Mutual Funds
POPAX,Mutual Funds
MABAX,Mutual Funds
FNCMX,Mutual Funds
RDETX,Mutual Funds
FJPAX,Mutual Funds
ORIKX,Mutual Funds
PACOX,Mutual Funds
FTARX,Mutual Funds
PMVYX,Mutual Funds
FSTAX,Mutual Funds
FFGTX,Mutual Funds
FNSHX,Mutual Funds
JSORX,Mutual Funds
FLAUX,Mutual Funds
NBNRX,Mutual Funds
IHYSX,Mutual Funds
FEDTX,Mutual Funds
QUAKX,Mutual Funds
JVXIX,Mutual Funds
GNSRX,Mutual Funds
ACGLX,Mutual Funds
HAMVX,Mutual Funds
RRGAX,Mutual Funds
LSVAX,Mutual Funds
PGMSX,Mutual Funds
USBNX,Mutual Funds
LBGIX,Mutual Funds
DFIPX,Mutual Funds
RRIAX,Mutual Funds
FAHMX,Mutual Funds
AVSPX,Mutual Funds
FDFFX,Mutual Funds
CFVLX,Mutual Funds
ALSRX,Mutual Funds
ARORX,Mutual Funds
MRIGX,Mutual Funds
FBMAX,Mutual Funds
FCRFX,Mutual Funds
ABMIX,Mutual Funds
ABLSX,Mutual Funds
APLGX,Mutual Funds
PARRX,Mutual Funds
JWGRX,Mutual Funds
IIBZX,Mutual Funds
FEIZX,Mutual Funds
RICBX,Mutual Funds
AALRX,Mutual Funds
RPMGX,Mutual Funds
AGLPX,Mutual Funds
LCCAX,Mutual Funds
FLMFX,Mutual Funds
BRAPX,Mutual Funds
RRREX,Mutual Funds
EIREX,Mutual Funds
LFERX,Mutual Funds
GERUX,Mutual Funds
MTERX,Mutual Funds
HAREX,Mutual Funds
PCGNX,Mutual Funds
FSSNX,Mutual Funds
LMPSX,Mutual Funds
FZBXX,Mutual Funds
HARPX,Mutual Funds
CSRIX,Mutual Funds
IANIX,Mutual Funds
AREOX,Mutual Funds
LTFIX,Mutual Funds
FGUAX,Mutual Funds
